小区,户型,面积,价格,单价,朝向,电梯,位置,地铁
舒馨北苑,2室2厅1厨1卫,83.03㎡,340,40950元/平米,南,无,浦东 川沙 外环外,
新德佳苑,2室1厅1厨1卫,72.37㎡,318,43941元/平米,南,无,浦东 川沙 外环外,
印象春城,2室2厅1厨1卫,89㎡,440,49439元/平米,南 北,有,浦东 周浦 外环外,
双秀西园,2室2厅1厨1卫,75.75㎡,335,44225元/平米,南 北,无,浦东 康桥 外环外,
万馨佳园,3室1厅1厨1卫,98.36㎡,435,44226元/平米,南,无,浦东 川沙 外环外,
鼎鑫名流世家,2室2厅1厨2卫,92.72㎡,390,42063元/平米,南,有,浦东 川沙 外环外,
新德佳苑,3室2厅1厨1卫,99.49㎡,408,41010元/平米,南 北,无,浦东 川沙 外环外,
瀚龙苑,2室1厅1厨1卫,76.3㎡,305,39974元/平米,南,无,浦东 川沙 外环外,
星金家园,3室2厅1厨2卫,109.92㎡,420,38210元/平米,南,有,浦东 曹路 外环外,近9号线曹路站
仙都绿苑,2室1厅1厨1卫,87.35㎡,450,51517元/平米,南 北,有,浦东 金杨 内环至中环,
舒馨北苑,3室2厅0厨1卫,100.46㎡,420,41808元/平米,南,无,浦东 川沙 外环外,
舒馨北苑,2室2厅1厨1卫,73.03㎡,306,41901元/平米,南,无,浦东 川沙 外环外,
新德佳苑,2室1厅1厨1卫,72.37㎡,329,45461元/平米,南,无,浦东 川沙 外环外,
东方城市绿洲,2室2厅1厨1卫,88.49㎡,430,48594元/平米,南,有,浦东 川沙 外环外,
丰怡苑,2室2厅1厨1卫,89.85㎡,300,33389元/平米,南,无,浦东 曹路 外环外,近9号线曹路站
东锦苑,2室1厅1厨1卫,79.96㎡,338,42272元/平米,南,有,浦东 川沙 外环外,
星颂家园,3室1厅1厨1卫,99.38㎡,410,41256元/平米,南,有,浦东 曹路 外环外,
中海御景熙岸(公寓),3室2厅1厨1卫,88.41㎡,465,52596元/平米,东 南,有,浦东 三林 外环外,
海尚康庭,3室2厅1厨1卫,99.52㎡,373,37480元/平米,南,无,浦东 康桥 外环外,
城中花园,2室2厅1厨1卫,107.84㎡,493,45716元/平米,南,有,浦东 康桥 外环外,
铂庭俱进家园,2室2厅1厨1卫,87.68㎡,475,54175元/平米,南,有,浦东 高行 中环至外环,
星金家园,2室1厅1厨1卫,82.33㎡,317,38504元/平米,南,有,浦东 曹路 外环外,近9号线曹路站
保利林语溪(公寓),2室2厅1厨2卫,89.79㎡,470,52345元/平米,南,有,浦东 三林 外环外,
迎亭公寓,3室1厅1厨1卫,88.34㎡,410,46412元/平米,南 北,无,浦东 高行 中环至外环,
杉林新月环林东路875弄,2室2厅1厨1卫,83.37㎡,488,58535元/平米,南,有,浦东 三林 中环至外环,
达城锦园,2室1厅1厨1卫,75.54㎡,310,41038元/平米,南,有,浦东 康桥 外环外,
新领地,2室1厅1厨1卫,93.51㎡,485,51867元/平米,南,有,浦东 花木 内环内,近2号线龙阳路站
三林新村(永泰路468弄),2室1厅1厨1卫,84.03㎡,470,55933元/平米,南,有,浦东 三林 中环至外环,近11号线(花桥-迪士尼)三林站
杉林新月环林东路875弄,2室2厅1厨1卫,83.64㎡,490,58585元/平米,南,有,浦东 三林 中环至外环,
中海御景熙岸(公寓),3室2厅1厨1卫,88.41㎡,475,53727元/平米,南,有,浦东 三林 外环外,
印象春城,2室2厅1厨1卫,92.28㎡,429,46489元/平米,南,有,浦东 周浦 外环外,
鹏宏苑,2室2厅1厨1卫,86.58㎡,495,57173元/平米,南 北,无,浦东 北蔡 内环至中环,近13号线陈春路站
三林新村(永泰路133弄),3室2厅1厨1卫,97㎡,490,50516元/平米,南,有,浦东 三林 中环至外环,近11号线(花桥-迪士尼)三林站
日月新苑,2室1厅1厨1卫,70.96㎡,440,62007元/平米,南,无,浦东 杨思前滩 内环至中环,近6号线上南路站
美林小城,2室2厅1厨1卫,84.34㎡,360,42685元/平米,南,有,浦东 康桥 外环外,
保利金爵公寓,2室2厅1厨1卫,87.86㎡,483,54974元/平米,南 北,有,浦东 唐镇 外环外,
汇锦城二期,3室2厅1厨1卫,91.34㎡,300,32845元/平米,南 北,有,浦东 新场 外环外,
春港丽园(公寓),2室2厅1厨1卫,88.29㎡,385,43607元/平米,南 北,无,浦东 张江 内环至中环,
申雅苑,3室2厅1厨1卫,99.33㎡,410,41277元/平米,南 北,无,浦东 周浦 外环外,
河滨城市花园,2室1厅1厨1卫,74.13㎡,355,47889元/平米,南,无,浦东 曹路 外环外,近9号线顾唐路站
浦发绿城永泰路1960弄,2室2厅1厨1卫,74.07㎡,335,45228元/平米,南 北,无,浦东 三林 ,近11号线(花桥-迪士尼)浦三路站
达城锦园,2室2厅1厨1卫,76.91㎡,320,41608元/平米,南,有,浦东 康桥 外环外,
孙桥花苑,2室2厅1厨1卫,108.56㎡,445,40992元/平米,南,无,浦东 张江 中环至外环,
鼎鑫名流世家,2室1厅1厨1卫,92.72㎡,420,45298元/平米,南 北,有,浦东 川沙 外环外,
万科清林径,3室2厅1厨1卫,96.11㎡,325,33816元/平米,南,有,浦东 新场 外环外,
东方冠郡,2室2厅1厨1卫,99.28㎡,335,33743元/平米,南 北,有,浦东 新场 外环外,
汇腾东苑,2室1厅1厨1卫,86.77㎡,305,35151元/平米,南,有,浦东 周浦 外环外,
绿地康桥新苑,2室2厅1厨1卫,77.48㎡,330,42592元/平米,南 北,无,浦东 康桥 外环外,
保利金爵公寓,2室2厅0厨1卫,90.2㎡,490,54324元/平米,南 北,有,浦东 唐镇 外环外,
康桥宝邸,2室2厅1厨1卫,76.51㎡,300,39211元/平米,南,有,浦东 康桥 外环外,
瀚盛家园,2室2厅1厨1卫,87.15㎡,335,38440元/平米,南,无,浦东 唐镇 外环外,
